-2.50 	-2	21.3	-2	44.8	2.34
					
6.14 	-0.2	1.1	7.5	2.7	13.88
-15.40 	-2	21.3	-2	44.8	2.34
					
6.00 	-0.2	1.1	7.5	2.7	13.88
-4.74 	-2	21.3	-2	44.8	2.34
					
6.60 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
6.88 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
6.20 	-0.2	1.1	7.5	2.7	13.88
0.36 	-2	21.3	-2	44.8	2.34
					
5.80 	-0.2	1.1	7.5	2.7	13.88
-15.41 	-2	21.3	-2	44.8	2.34
					
6.88 	-0.2	1.1	7.5	2.7	13.88
-15.41 	-2	21.3	-2	44.8	2.34
					
5.74 	-0.2	1.1	7.5	2.7	13.88
-9.45 	-2	21.3	-2	44.8	2.34
					
6.84 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
7.56 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
6.84 	-0.2	1.1	7.5	2.7	13.88
-1.53 	-2	21.3	-2	44.8	2.34
					
7.56 	-0.2	1.1	7.5	2.7	13.88
0.88 	-2	21.3	-2	44.8	2.34
					
6.63 	-0.2	1.1	7.5	2.7	13.88
-2.88 	-2	21.3	-2	44.8	2.34
					
5.54 	-0.2	1.1	7.5	2.7	13.88
-4.88 	-2	21.3	-2	44.8	2.34
					
7.73 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
6.69 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
7.73 	-0.2	1.1	7.5	2.7	13.88
-0.28 	-2	21.3	-2	44.8	2.34
					
6.69 	-0.2	1.1	7.5	2.7	13.88
-4.75 	-2	21.3	-2	44.8	2.34
					
4.82 	-0.2	1.1	7.5	2.7	13.88
-4.33 	-2	21.3	-2	44.8	2.34
					
6.07 	-0.2	1.1	7.5	2.7	13.88
-3.50 	-2	21.3	-2	44.8	2.34
					
6.7	-0.20 	1.10 	7.50 	2.70 	13.88 
1.446	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
7.2	-0.20 	1.10 	7.50 	2.70 	13.88 
2.45	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.74	-0.20 	1.10 	7.50 	2.70 	13.88 
1.74	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.53	-0.20 	1.10 	7.50 	2.70 	13.88 
4.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.13	-0.20 	1.10 	7.50 	2.70 	13.88 
2.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.01	-0.20 	1.10 	7.50 	2.70 	13.88 
3.45	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
8.302	-0.20 	1.10 	7.50 	2.70 	13.88 
4.74	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
7.33	-0.20 	1.10 	7.50 	2.70 	13.88 
4.13	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.6	-0.20 	1.10 	7.50 	2.70 	13.88 
1.32	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
4.34	-0.20 	1.10 	7.50 	2.70 	13.88 
2.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
4.89	-0.20 	1.10 	7.50 	2.70 	13.88 
3.23	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
4.56	-0.20 	1.10 	7.50 	2.70 	13.88 
2.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
3.693176	-0.20 	1.10 	7.50 	2.70 	13.88 
3.335136	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.39	-0.20 	1.10 	7.50 	2.70 	13.88 
4.32	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.74	-0.20 	1.10 	7.50 	2.70 	13.88 
5.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.53	-0.20 	1.10 	7.50 	2.70 	13.88 
4.74	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.39	-0.20 	1.10 	7.50 	2.70 	13.88 
5.54	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.59	-0.20 	1.10 	7.50 	2.70 	13.88 
4.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
4.364038	-0.20 	1.10 	7.50 	2.70 	13.88 
3.73584	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.49	-0.20 	1.10 	7.50 	2.70 	13.88 
2.88	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.15	-0.20 	1.10 	7.50 	2.70 	13.88 
4.74	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.45	-0.20 	1.10 	7.50 	2.70 	13.88 
3.12	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.65	-0.20 	1.10 	7.50 	2.70 	13.88 
2.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.12	-0.20 	1.10 	7.50 	2.70 	13.88 
1.33	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.003018	-0.20 	1.10 	7.50 	2.70 	13.88 
1.341456	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
5.5	-0.20 	1.10 	7.50 	2.70 	13.88 
2.34	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.33	-0.20 	1.10 	7.50 	2.70 	13.88 
3.34	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.53	-0.20 	1.10 	7.50 	2.70 	13.88 
4.43	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
6.35	-0.20 	1.10 	7.50 	2.70 	13.88 
2.09	-2.00 	21.30 	-2.00 	44.80 	2.34 
					
4.96	-0.20 	1.10 	7.50 	2.70 	13.88 
1.98	-2.00 	21.30 	-2.00 	44.80 	2.34 
